id,es,en,it,fr,de,pt
TUTORIAL_STEP_2,"En Herramientas encontrarás ajustes útiles como el tamaño del pincel, el borrador y deshacer o rehacer.","In Tools you will find useful settings like brush size, eraser, and undo or redo.","In Strumenti troverai impostazioni utili come dimensione del pennello, gomma e annulla o ripristina.","Dans Outils, vous trouverez des paramètres utiles comme la taille du pinceau, la gomme et annuler ou rétablir.","Unter Werkzeuge findest du nützliche Einstellungen wie Pinselgröße, Radiergummi und Rückgängig oder Wiederholen.","Em Ferramentas, você encontrará configurações úteis como tamanho do pincel, borracha e desfazer ou refazer."
TUTORIAL_STEP_3,"El Laboratorio es el lugar perfecto para inventar. ¡Crea materiales únicos que no existen en la naturaleza!","The Lab is the perfect place to invent. Create unique materials that don't exist in nature!","Il Laboratorio è il posto perfetto per inventare. Crea materiali unici che non esistono in natura!","Le Laboratoire est l'endroit idéal pour inventer. Créez des matériaux uniques qui n'existent pas dans la nature !","Das Labor ist der perfekte Ort zum Erfinden. Erschaffe einzigartige Materialien, die in der Natur nicht existieren!","O Laboratório é o lugar perfeito para inventar. Crie materiais únicos que não existem na natureza!"
TUTORIAL_STEP_4,"¿Ganas de destrucción? Desata tornados, terremotos y lluvias de meteoritos desde aquí.","In the mood for destruction? Unleash tornadoes, earthquakes, and meteor showers from here.","Voglia di distruzione? Scatena tornado, terremoti e piogge di meteoriti da qui.","Envie de destruction ? Déclenchez des tornades, des tremblements de terre et des pluies de météorites d'ici.","Lust auf Zerstörung? Entfessle von hier aus Tornados, Erdbeben und Meteoritenschauer.","Com vontade de destruir? Libere tornados, terremotos e chuvas de meteoros a partir daqui."
TUTORIAL_STEP_5,"Añade vida a tu mundo con NPCs. Verás cómo interactúan, pelean y sobreviven en tus creaciones.","Add life to your world with NPCs. Watch how they interact, fight, and survive in your creations.","Aggiungi vita al tuo mundo con gli NPC. Guarda come interagiscono, combattono e sopravvivono nelle tue creazioni.","Ajoutez de la vie à votre monde avec des PNJ. Regardez comment ils interagissent, se battent et survivent dans vos créations.","Füge deiner Welt mit NPCs Leben hinzu. Sieh zu, wie sie interagieren, kämpfen und in deinen Kreationen überleben.","Adicione vida ao seu mundo com NPCs. Veja como eles interagem, lutam e sobrevivem em suas criações."
TUTORIAL_STEP_6,"Saca tu lado artístico. Pinta elementos del color que quieras y personaliza el fondo a tu gusto.","Bring out your artistic side. Paint elements any color you want and customize the background to your liking.","Tira fuori il tuo lato artistico. Dipingi gli elementos del colore che desideri e personalizza lo sfondo a tuo piacimento.","Faites ressortir votre côté artistique. Peignez les éléments de la couleur de votre choix et personnalisez l'arrière-plan à votre guise.","Bringe deine künstlerische Seite zum Vorschein. Male Elemente in jeder gewünschten Farbe an und passe den Hintergrund nach deinen Wünschen an.","Mostre seu lado artístico. Pinte elementos da cor que quiser e personalize o fundo ao seu gosto."
TUTORIAL_STEP_7,"¡Hasta puedes hacer música! Crea circuitos con metal y electricidad para hacer sonar instrumentos.","You can even make music! Create circuits with metal and electricity to play instruments.","Puoi persino fare musica! Crea circuiti con metallo ed elettricità per suonare gli strumenti.","Vous pouvez même faire de la musique ! Créez des circuits avec du métal et de l'électricité pour jouer des instruments.","Du kannst sogar Musik machen! Erstelle Schaltungen mit Metall und Elektrizität, um Instrumente zu spielen.","Você pode até fazer música! Crie circuitos con metal e eletricidade para tocar instrumentos."
TUTORIAL_STEP_8,"Con estos 4 botones puedes hacer zoom, desplazarte con ✋ y guardar tu mundo con 💾.","With these 4 buttons you can zoom, pan with ✋ and save your world with 💾.","Con questi 4 pulsanti puoi ingrandire, spostarti con ✋ e salvare il tuo mondo con 💾.","Avec ces 4 boutons, vous pouvez zoomer, vous déplacer avec ✋ et sauvegarder votre monde avec 💾.","Mit diesen 4 Tasten kannst du zoomen, dich mit ✋ bewegen und deine Welt mit 💾 speichern.","Com esses 4 botões você pode dar zoom, mover-se com ✋ e salvar seu mundo com 💾."
GOT_IT,Entendido,Got it,Capito,Compris,Verstanden,Entendido
skip_tutorial,Omitir,Skip,Salta,Ignorer,Überspringen,Pular
ORIENT_AUTO,Automático,Auto,Automatico,Auto,Auto,Automático
ORIENT_PORTRAIT,Vertical,Portrait,Verticale,Vertical,Hochformat,Retrato
ORIENT_LANDSCAPE,Horizontal,Landscape,Orizzontale,Horizontal,Querformat,Paisagem
orient,Orientación,Orientation,Orientamento,Orientation,Ausrichtung,Orientação
achievement_btn,Logros,Achievements,Obiettivi,Succès,Erfolge,Conquistas
achievement_menu_title,Logros del Mundo,World Achievements,Obiettivi del Mondo,Succès du Monde,Welterfolge,Conquistas do Mundo
ach_massive_fight_title,Pelea Masiva,Massive Fight,Battaglia Massiccia,Combat Massif,Massenschlacht,Luta Massiva
ach_massive_fight_desc,Haz una pelea de más de 10 NPCs en cada equipo con al menos 2 equipos,Have a fight with more than 10 NPCs on each team with at least 2 teams,Fai una battaglia con più di 10 NPC per squadra con almeno 2 squadre,Faites un combat avec plus de 10 PNJ dans chaque équipe avec au moins 2 équipes,Lass mehr als 10 NPCs pro Team in mindestens 2 Teams gegeneinander kämpfen,Faça uma luta com más de 10 NPCs em cada equipe com pelo menos 2 equipes
ach_electrifying_title,Electrificante,Electrifying,Elettrificante,Électrisant,Elektrisierend,Eletrizante
ach_electrifying_desc,Combina electricidad y agua para crear una reacción conductora,Combine electricity and water to create a conductive reaction,Combina elettricità e acqua per creare una reazione conduttiva,Combinez l'électricité et l'eau para crear una reacción conductrice,Kombiniere Elektrizität und Wasser, um eine leitfähige Reaktion zu erzeugen,Combine eletricidade e água para criar uma reacción conductora
ach_miner_plan_title,El Plan del Minero,The Miner's Plan,Il Piano del Minatore,Le Plan du Mineur,Der Plan des Bergarbeiters,O Plano do Minerador
ach_miner_plan_desc,Descubre el trágico final del sabotaje del minero,Discover the tragic end of the miner's sabotage,Scopri la tragica fine del sabotaggio del minatore,Découvrez la fin tragique du sabotage du mineur,Entdecke das tragische Ende des Sabotageakts des Bergarbeiters,Descubra o fim trágico da sabotagem do minerador
ach_god_title,Dios todo poderoso,Almighty God,Dio Onnipotente,Dieu Tout-Puissant,Allmächtiger Gott,Deus Todo-Poderoso
ach_god_desc,Coloca todos los elementos en pantalla simultáneamente,Place all elements on the screen simultaneously,Posiziona tutti gli elementi sullo schermo simultaneamente,Placez tous les éléments sur l'écran simultanément,Platzieren Sie alle Elemente gleichzeitig auf dem Bildschirm,Coloque todos los elementos na tela simultaneamente
ach_mad_scientist_title,Científico Loco,Mad Scientist,Scienziato Pazzo,Savant Fou,Verrückter Wissenschaftler,Cientista Louco
ach_mad_scientist_desc,Completa el tutorial del laboratorio y prepárate para crear vida... o caos,Complete the lab tutorial and prepare to create life... or chaos,Completa il tutorial del laboratorio e preparati a creare la vita... o il caos,Terminez le tutoriel del laboratorio et préparez-vous à créer la vie... ou le caos,Schließe das Labortutorial ab und bereite dich darauf vor Leben zu erschaffen... oder Chaos,Complete o tutorial do laboratório e prepare-se para crear vida... o caos
ach_paint_title,Pinta algo bonito,Paint something beautiful,Dipingi qualcosa di bello,Peignez quelque chose de beau,Malen Sie etwas Schönes,Pinte algo bonito
ach_paint_desc,Usa 4 o más colores en el fondo y 4 o más en los elementos,Use 4 or more colors on the background and 4 or more on elements,Usa 4 o más colores en el fondo y 4 o más en los elementos,Use 4 or more colors on the background and 4 or more on elements,Verwenden Sie 4 oder mehr Farben für den Hintergrund und 4 o más en los elementos,Use 4 ou mais cores no fundo e 4 ou mais nos elementos
ach_party_rock_title,Party Rock,Party Rock,Party Rock,Party Rock,Party Rock,Party Rock
ach_party_rock_desc,Haz que 20 NPCs o más celebren una victoria juntos,Have 20 or more NPCs celebrate a victory together,Fai festeggiare 20 o più NPC insieme per una vittoria,Faites la fête avec 20 PNJ ou plus pour celebrar une victoire,Lass 20 oder mehr NPCs gemeinsam einen Sieg feiern,Faça com que 20 NPCs o más celebren uma vitória juntos
ach_wind_master_title,Maestro de vientos,Master of Winds,Maestro dei venti,Maître des vents,Meister der Winde,Mestre dos ventos
ach_wind_master_desc,"Descubre todos los tipos de tornado (Normal, Fuego, Ácido y Eléctrico)","Discover all tornado types (Normal, Fire, Acid and Electric)","Scopri tutti i tipi di tornado (Normale, Fuoco, Acido ed Elettrico)","Découvrez todos los tipos de tornades (Normal, Feu, Acide et Électrique)","Entdecke alle Tornado-Typen (Normal, Feuer, Säure und Elektrisch)","Descubra todos os tipos de tornado (Normal, Fogo, Ácido e Elétrico)"
ach_compositor_title,Compositor,Composer,Compositore,Compositeur,Komponist,Compositor
ach_compositor_desc,Haz una canción con 5 notas o más,Make a song with 5 or more notes,Fai una canzone con 5 o più note,Créez une chanson con 5 notes ou plus,Erstelle einen Song mit 5 oder mehr Noten,Faça uma canção con 5 notas ou mais
ach_tsunami_master_title,Tsunami variado,Varied Tsunami,Tsunami vario,Tsunami varié,Abwechslungsreicher Tsunami,Tsunami variado
ach_tsunami_master_desc,Haz un Tsunami con todos los tipos de líquidos a la vez,Make a Tsunami with all types of liquids at once,Fai un Tsunami con tutti i tipi di liquidi contemporaneamente,Faites un tsunami avec tous les types de liquides à la fois,Erzeuge einen Tsunami mit allen Arten von Flüssigkeiten gleichzeitig,Faça um Tsunami com todos os tipos de líquidos ao mesmo tempo
ach_retro_time_title,Tiempo retro,Retro Time,Tempo retro,Temps rétro,Retro-Zeit,Tempo retrô
ach_retro_time_desc,Controla un NPC,Control an NPC,Controlla un NPC,Contrôlez un PNJ,Steuere einen NPC,Controle um NPC
ach_good_night_title,Buenas noches,Good Night,Buonanotte,Bonne nuit,Gute Nacht,Boa noite
ach_good_night_desc,Haz que 12 NPCs duerman al mismo tiempo,Make 12 NPCs sleep at the same time,Fai dormire 12 NPC contemporaneamente,Faites dormir 12 PNJ en même temps,Lass 12 NPCs gleichzeitig schlafen,Faça 12 NPCs dormirem ao mesmo tiempo
ach_volcano_title,Erupción Colosal,Colossal Eruption,Eruzione colossale,Éruption colossale,Kolossaler Ausbruch,Erupção colossal
ach_volcano_desc,Crea un volcán de gran tamaño en erupción,Create a large erupting volcano,Crea un grande vulcano in eruzione,Créez un grand volcan en éruption,Erstelle einen großen ausbrechenden Vulkan,Crie um grande vulcão em erupção
ach_boom_title,¡BOOM!,BOOM!,BOOM!,BOOM!,BOOM!,BOOM!
ach_boom_desc,Crea una explosión en cadena de 20 TNTs,Create a chain reaction of 20 TNTs,Crea una reazione a catena di 20 TNT,Créez une réaction en chaîne de 20 TNT,Erzeuge eine Kettenreaktion von 20 TNTs,Crie uma reação em cadeia de 20 TNTs
ach_special_boom_title,¡BOOM Especial!,Special BOOM!,BOOM Speciale!,BOOM Spécial!,Spezial-BOOM!,BOOM Especial!
ach_special_boom_desc,Crea una explosión en cadena de 25 con distintos tipos,Create a chain reaction of 25 with different types,Crea una reazione a catena di 25 con tipi diversi,Créez une réaction en chaîne de 25 avec différents types,Erzeuge eine Kettenreaktion von 25 mit verschiedenen Typen,Crie uma reação en cadeia de 25 com diferentes tipos
ach_short_circuit_title,Cortocircuito Masivo,Massive Short Circuit,Cortocircuito di massa,Court-circuit massif,Massiver Kurzschluss,Curto-circuito massivo
ach_short_circuit_desc,Electrocuta a 10 NPCs o más al mismo tiempo,Electrocute 10 or more NPCs at the same time,Elettrocuta 10 o più NPC contemporaneamente,Électrocuter 10 PNJ ou plus en même temps,Versetzte 10 oder mehr NPCs gleichzeitig einen Stromschlag,Eletrocute 10 ou mais NPCs ao mesmo tempo
ach_world_war_title,Guerra Mundial,World War,Guerra Mondiale,Guerre Mondiale,Weltkrieg,Guerra Mundial
ach_world_war_desc,Ten a los 4 equipos con al menos 5 miembros cada uno luchando,Have all 4 teams with at least 5 members each fighting,Porta tutte e 4 le squadre ad avere almeno 5 membri ciascuna in combattimento,Ayez les 4 équipes avec au moins 5 membres chacune au combat,Habt alle 4 Teams mit jeweils mindestens 5 Mitgliedern im Kampf,Tenha todas as 4 equipes com pelo menos 5 membros cada em combate
ach_alchemist_title,Alquimista Supremo,Supreme Alchemist,Alchimista Supremo,Alchimiste Suprême,Supremer Alchemist,Alquimista Supremo
ach_alchemist_desc,Usa tus 3 elementos personalizados del laboratorio al mismo tiempo,Use your 3 custom laboratory elements at the same time,Usa i tuoi 3 elementi personalizzati del laboratorio contemporaneamente,Utilisez vos 3 éléments de laboratoire personnalisés en même temps,Verwende deine 3 benutzerdefinierten Laborelemente gleichzeitig,Use seus 3 elementos de laboratório personalizados ao mesmo tempo
ach_massive_fight_hint,"Una gran rivalidad se desata cuando dos grandes ejércitos colisionan...","A great rivalry breaks out when two large armies collide...","Una grande rivalità scoppia quando due grandi eserciti si scontrano...","Une grande rivalité éclate lorsque deux grandes armées s'affrontent...","Eine große Rivalität bricht aus, wenn zwei große Armeen aufeinandertreffen...","Uma grande rivalidade surge quando dois grandes exércitos colidem..."
ach_electrifying_hint,"El agua y la energía celeste se abrazan en una reacción chispeante...","Water and celestial energy embrace in a sparkling reaction...","L'acqua e l'energia celeste si abbracciano in una reazione frizzante...","L'eau et l'énergie céleste s'embrassent dans une réaction étincelante...","Wasser und himmlische Energie umarmen sich in einer funkelnden Reaktion...","A água e a energia celeste se abraçam em uma reacción cintilante..."
ach_miner_plan_hint,"Un trabajador subterráneo planea algo especial... síguelo hasta que termine su jornada.","An underground worker plans something special... follow him until his shift ends.","Un lavoratore sotterraneo progetta qualcosa di speciale... seguilo fino alla fine del suo turno.","Un travailleur souterrain prépare quelque chose de spécial... suivez-le jusqu'à la fin de son service.","Ein unterirdischer Arbeiter plant etwas Besonderes... folge ihm, bis seine Schicht endet.","Um trabalhador subterrâneo planeja algo especial... siga-o até que termine sua jornada."
ach_god_hint,"Para gobernar el mundo entero, primero debes conocer cada pequeña materia...","To rule the entire world, you must first know every single matter...","Per governare il mondo intero, devi prima conoscere ogni singola materia...","Pour gouverner le monde entier, vous devez d'abord connaître chaque matière...","Um die ganze Welt zu regieren, musst du zuerst jede einzelne Materie kennen...","Para governar o mundo inteiro, primero você deve conocer cada pequena matéria..."
ach_mad_scientist_hint,"En la sección secreta 🧪, mezcla y guarda el nacimiento de algo completamente tuyo...","In the secret section 🧪, mix and save the birth of something entirely yours...","Nella sezione segreta 🧪, mescola e salva la nascita di qualcosa di completamente tuo...","Dans la section secrète 🧪, mélangez et sauvegardez la naissance de quelque chose d'entièrement à vous...","Im geheimen Bereich 🧪 mische und speichere die Geburt von etwas völlig Neuem...","Na seção secreta 🧪, misture e salve o nascimento de algo completamente seu..."
ach_paint_hint,"El lienzo de la naturaleza brilla más cuando rebosa de variados colores...","Nature's canvas shines brightest when overflowing with varied colors...","La tela della natura risplende di più quando trabocca di vari colori...","La toile de la nature brille le plus lorsqu'elle regorge de couleurs variées...","Die Leinwand der Natur strahlt am hellsten, wenn sie von verschiedenen Farben überquillt...","A tela da natureza brilha mais quando transborda de cores variadas..."
ach_party_rock_hint,"La alegría del triunfo se contagia cuando una gran multitud celebra a la vez...","The joy of triumph is contagious when a large crowd celebrates at once...","La gioia del trionfo è contagiosa quando una grande folla festeggia insieme...","La joie du triomphe est contagieuse lorsqu'une grande foule fête ensemble...","Die Freude über den Triumph ist ansteckend, wenn eine große Menge auf einmal feiert...","A alegria do triunfo é contagiante quando uma grande multidão celebra al mesmo tempo..."
ach_wind_master_hint,"El aire gira y cambia de color al mezclarse con las fuerzas de la naturaleza...","The air spins and changes color as it mixes with the forces of nature...","L'aria gira e cambia colore quando si mescola con le forze della natura...","L'air tourbillonne et change de couleur en se mélangeant aux forces de la nature...","Die Luft wirbelt und verändert ihre Farbe, wenn sie sich mit den Kräften der Natur vermischt...","O ar gira e muda de cor ao misturar-se com as forças da natureza..."
ach_compositor_hint,"El metal y el ritmo se unen para dar vida a una melodía rápida y continua...","Metal and rhythm unite to bring a fast, continuous melody to life...","Metallo e ritmo si uniscono per dare vita a una melodia veloce e continua...","Le métal et le rythme s'unissent pour donner vie à une mélodie rapide et continue...","Metall und Rhythmus vereinen sich, um eine schnelle, kontinuierliche Melodie zum Leben zu erwecken...","O metal e o ritmo se unem para dar vida a uma melodia rápida e contínua..."
ach_tsunami_master_hint,"Una ola colosal se levanta cuando todos los flujos de color se mezclan a la vez...","A colossal wave rises when all color flows mix at once...","Un'onda colossale si alza quando tutti i flussi di colore si mescolano insieme...","Une vague colossale se lève lorsque tous les flux de couleur se mélangent en même temps...","Eine gewaltige Welle erhebt sich, wenn sich alle Farbströme auf einmal vermischen...","Uma onda colossal se ergue quando todos os fluxos de cor se misturam ao mesmo tempo..."
ach_retro_time_hint,"Conviértete en el titiritero del destino y toma el control...","Become the puppeteer of destiny and take control...","Diventa il burattinaio del destino e prendi il controllo...","Devenez le marionnettiste du destin et prenez le contrôle...","Werde zum Puppenspieler des Schicksals und übernimm die Kontrolle...","Torne-se o marionetista do destino e assuma o controle..."
ach_good_night_hint,"El silencio y el descanso caen sobre un gran grupo bajo el manto estrellado...","Silence and rest fall upon a large group under the starry mantle...","Il silenzio e il riposo scendono su un grande gruppo sotto il manto stellato...","Le silence et le repos s'abattent sur un grand groupe sous le manteau étoilé...","Stille und Ruhe legen sich auf eine große Gruppe unter dem Sternenmantel...","O silêncio e o descanso caem sobre um grande grupo sob o manto estrelado..."
ach_volcano_hint,"La tierra se eleva acumulando calor, lista para desatar una furia gigante...","The earth rises, accumulating heat, ready to unleash a giant fury...","La terra si alza accumulando calore, pronta a scatenare una furia gigante...","La terre s'élève en accumulant de la chaleur, prête à déclencher une fureur géante...","Die Erde erhebt sich und sammelt Hitze an, bereit, einen gigantischen Zorn zu entfesseln...","A terra se ergue acumulando calor, pronta para desencadear uma fúria gigante..."
ach_boom_hint,"Una chispa que viaja de bloque en bloque, desatando una reacción interminable...","A spark traveling from block to block, unleashing an endless reaction...","Una scintilla che viaggia di blocco in blocco, scatenando una reazione infinita...","Une étincelle voyageant de bloc en bloc, déclenchant une reacción sans fin...","Ein Funke, der von Block zu Block wandert und eine endlose Reaktion auslöst...","Uma faísca que viaja de bloco em bloco, desencadeando uma reação interminável..."
ach_special_boom_hint,"El arte de la destrucción requiere combinar diferentes sabores de pólvora...","The art of destruction requires combining different gunpowder flavors...","L'arte della distruzione richiede la combinazione di diversi gusti di polvere da sparo...","L'art de la destruction nécessite de combiner différents types de poudre...","Die Kunst der Zerstörung erfordert die Kombination verschiedener Schwarzpulverarten...","A arte da destruição requer a combinação de diferentes tipos de pólvora..."
ach_short_circuit_hint,"Un baño masivo se vuelve caótico cuando una chispa viaja de cuerpo en cuerpo...","A massive bath turns chaotic when a spark travels from body to body...","Un bagno di massa diventa caotico quando una scintilla viaggia da corpo a corpo...","Un bain de masse devient chaotique lorsqu'une étincelle voyage de corps en corps...","Ein riesiges Bad wird chaotisch, wenn ein Funke von Körper zu Körper wandert...","Um banho massivo se torna caótico quando uma faísca viaja de corpo em corpo..."
ach_world_war_hint,"Las fronteras se rompen cuando múltiples banderas ondean en conflicto...","Borders break when multiple flags wave in conflict...","I confini si rompono quando più bandiere sventolano in conflitto...","Les frontières se brisent lorsque plusieurs drapeaux flottent dans le conflit...","Grenzen brechen, wenn mehrere Flaggen im Konflikt wehen...","As fronteiras se rompem quando múltiplas bandeiras tremulam em conflito..."
ach_alchemist_hint,"Crea y guarda los tres secretos primordiales nacidos de tus experimentos...","Create and save the three primordial secrets born of your experiments...","Crea e salva i tre segreti primordiali nati dai tuoi esperimenti...","Créez et sauvegardez les trois secrets primordiaux nés de vos expériences...","Erschaffe und speichere die drei uranfänglichen Geheimnisse aus deinen Experimenten...","Crie e salve os três segredos primordiais nascidos de seus experimentos..."
load_confirm,"¿Cargar el mundo: {0}?","Load the world: {0}?","Caricare il mondo: {0}?","Charger le monde : {0} ?","Welt laden: {0}?","Carregar o mundo: {0}?"
privacy_settings,Configuración de Privacidad,Privacy Settings,Impostazioni Privacy,Paramètres de confidentialité,Datenschutzeinstellungen,Configurações de Privacidade
factionless,Sin bando,Factionless,Senza fazione,Sans faction,Fraktionslos,Sem facção
zombie_tank,Zombie Tanque,Zombie Tank,Zombie Tank,Zombie Tank,Zombie Tank,Zombie Tank
RATING_TITLE,"¿Qué te está pareciendo Sandbox Ultra?","How are you enjoying Sandbox Ultra?","Come ti sembra Sandbox Ultra?","Comment trouvez-vous Sandbox Ultra ?","Wie gefällt dir Sandbox Ultra?","O que está achando do Sandbox Ultra?"
RATING_SUBTITLE,"¡Valóranos en Google Play Store!","Rate us on the Google Play Store!","Valutaci sul Google Play Store!","Évaluez-nous sur le Google Play Store !","Bewerte uns im Google Play Store!","Avalie-nos na Google Play Store!"
RATING_RATE_BTN,"⭐ Valorar","⭐ Rate","⭐ Valuta","⭐ Évaluer","⭐ Bewerten","⭐ Avaliar"
RATING_LATER_BTN,"Ahora no","Not now","Non ora","Pas maintenant","Nicht jetzt","Agora não"
ach_war-z_title,"Guerra mundial Z","World War Z","World War Z","World War Z","World War Z","Guerra Mundial Z"
ach_war-z_desc,"El mundo ha caído en caos.","The world has fallen into chaos.","Il mondo è caduto nel caos.","Le monde est tombé dans le chaos.","Die Welt ist im Chaos versunken.","O mundo caiu no caos."
ach_war-z_hint,"Cuando las hordas del apocalipsis infectan todas las facciones activas al mismo tiempo...","When the hordes of the apocalypse infect all active factions at the same time...","Quando le orde dell'apocalisse infettano tutte le fazioni attive allo stesso tempo...","Quand les hordes de l'apocalypse infectent toutes les factions actives en même temps...","Wenn die Horden der Apokalypse alle aktiven Fraktionen gleichzeitig infizieren...","Quando as hordas do apocalipse infectam todas as facções ativas ao mesmo tempo..."
ach_patient-zero_title,"Paciente cero","Patient Zero","Paziente Zero","Patient Zéro","Patient Null","Paciente Zero"
ach_patient-zero_desc,"Así comienza todo, corre!","This is how it all begins, run!","Così comincia tutto, corri!","C'est ainsi que tout commence, cours !","So fängt alles an, lauf!","Assim começa tudo, corra!"
ach_patient-zero_hint,"La muerte de un infectado es solo el comienzo para un humano descuidado...","The death of an infected is just the beginning for a careless human...","La morte di un infetto è solo l'inizio per un umano negligente...","La mort d'un infecté n'est que le début pour un humain imprudent...","Der Tod eines Infizierten ist erst der Anfang für einen unvorsichtigen Menschen...","A morte de um infectado é apenas o começo para um humano descuidado..."
ach_dancing-rain_title,"Bailando en la lluvia","Dancing in the rain","Cantando sotto la pioggia","Chanter sous la pluie","Singen im Regen","Dançando na chuva"
ach_dancing-rain_desc,"Está raro el clima hoy.","Weather is weird today.","Il clima è strano oggi.","Le temps est bizarre aujourd'hui.","Das Wetter ist heute komisch.","O clima está estranho hoje."
ach_dancing-rain_hint,"A veces, los humanos deben soportar tormentas más corrosivas que el agua...","Sometimes, humans must endure storms more corrosive than water...","A volte, gli umani devono sopportare tempeste più corrosive dell'acqua...","Parfois, les humains doivent endurer des tempêtes plus corrosives que l'eau...","Manchmal müssen Menschen Stürme ertragen, die ätzender sind als Wasser...","Às vezes, os humanos devem suportar tempestades mais corrosivas que a água..."
ach_great-bomber_title,"El gran bombardero","The Great Bomber","Il Grande Bombardiere","Le Grand Bombardier","Der Große Bomber","O Grande Bombardeiro"
ach_great-bomber_desc,"Utiliza el nivel más alto del avión bombardero.","Use the highest level of the bomber plane.","Usa il livello più alto del bombardiere.","Utilise le niveau le plus élevé du bombardier.","Benutze die höchste Stufe des Bombers.","Use o nível mais alto do bombardeiro."
ach_great-bomber_hint,"Desata la máxima devastación desde los cielos con la mayor carga posible...","Unleash maximum devastation from the skies with the largest possible payload...","Scatena la massima devastazione dal cielo con il carico più grande possibile...","Déchaîne une dévastation maximale depuis les cieux avec la plus grande charge possible...","Entfessle maximale Verwüstung aus dem Himmel mit der größtmöglichen Ladung...","Liberte a devastação máxima dos céus com a maior carga posible..."
ACHIEVEMENT_POSITION_FORMAT,"Logro {0} de {1}","Achievement {0} of {1}","Obiettivo {0} di {1}","Succès {0} sur {1}","Erfolg {0} von {1}","Conquista {0} de {1}"
Volver a Sandbox Ultra,"Volver a Sandbox Ultra","Return to Sandbox Ultra","Torna a Sandbox Ultra","Retourner à Sandbox Ultra","Zurück zu Sandbox Ultra","Voltar para o Sandbox Ultra"
THANKS_IMG_TRAILER,"Editando el primer trailer del juego","Editing the first game trailer","Modificando il primo trailer del gioco","Montage de la première bande-annonce du jeu","Ersten Trailer des Spiels bearbeiten","Editando o primeiro trailer do jogo"
THANKS_IMG_PHOTO,"Foto de agradecimiento del creador","Thank you photo from the creator","Foto di ringraziamento del creatore","Photo de remerciement du créateur","Dankeschön-Foto des Entwicklers","Foto de agradecimento do criador"
THANKS_IMG_INTERFACE,"La primera interfaz de Sandbox Ultra","The first Sandbox Ultra user interface","La prima interfaccia utente di Sandbox Ultra","La toute première interface de Sandbox Ultra","Die erste Benutzeroberfläche von Sandbox Ultra","A primeira interface do Sandbox Ultra"
THANKS_IMG_MUSIC,"Primera prueba de la mecánica de piano y música","First test of the piano and music mechanic","Prima prova della meccanica del pianoforte e della musica","Premier test de la mécanique du piano et de la musique","Erster Test der Klavier- und Musikmechanik","Primeiro teste da mecânica de piano e música"
THANKS_IMG_GOOGLE_PLAY,"Primera vez que el juego estuvo disponible en Google Play Store","First time the game was available on Google Play Store","Prima volta che il gioco è sido disponible en Google Play Store","Première publication du jeu sur le Google Play Store","Das Spiel zum ersten Mal im Google Play Store","Primeira vez que o jogo ficou disponível na Google Play Store"
THANKS_IMG_ACHIEVEMENTS,"Desarrollando los primeros logros del juego","Developing the first achievements of the game","Sviluppo dei primi obiettivi del juego","Développement des premiers succès du jeu","Entwicklung der ersten Erfolge des Spiels","Desenvolvendo as primeiras conquistas do jogo"
THANKS_TITLE,"¡Gracias por tu apoyo!","Thank you for your support!","Grazie per il tuo supporto!","Merci pour votre soutien !","Danke für deine Unterstützung!","Obrigado pelo seu apoio!"
LOADING_AD,Cargando anuncio... Por favor, espera unos segundos,Loading ad... Please wait a few seconds.,Caricamento annuncio... Attendi qualche secondo.,Chargement de la publicité... Veuillez patienter quelques secondes.,Werbung wird geladen... Bitte warten Sie einige Sekunden.,Carregando anúncio... Por favor, aguarde alguns segundos.
LOAD_AD_FAILED,No se pudo cargar el anuncio. Por favor, intenta más tarde.,Could not load the ad. Please try again later.,Impossibile caricare l'annuncio. Riprova più tardi.,Impossible de charger la publicité. Veuillez réessayer plus tard.,Werbung konnte nicht geladen werden. Bitte versuchen Sie es später noch einmal.,Não foi possível carregar o anúncio. Por favor, tente mais tarde.
circuits_tab,Circuitos,Circuits,Circuiti,Circuits,Schaltungen,Circuitos
music_tab,Música,Music,Musica,Musique,Musik,Música
led,LED,LED,LED,LED,LED,LED
not,NOT,NOT,NOT,NOT,NOT,NOT
and,AND,AND,AND,AND,AND,AND
or,OR,OR,OR,OR,OR,OR
nand,NAND,NAND,NAND,NAND,NAND,NAND
nor,NOR,NOR,NOR,NOR,NOR,NOR
xor,XOR,XOR,XOR,XOR,XOR,XOR
xnor,XNOR,XNOR,XNOR,XNOR,XNOR,XNOR
piston,Pistón,Piston,Pistone,Piston,Kolben,Pistão
cannon,Cañón,Cannon,Cannone,Canon,Kanone,Canhão
phase_block,Bloque de Fase,Phase Block,Blocco di Fase,Bloc de Phase,Phasenblock,Bloco de Fase
share_btn_ui,"Compartir","Share","Condividi","Partager","Teilen","Compartilhar"
import_btn_ui,"Importar","Import","Importa","Importer","Importieren","Importar"
permission_title,"Permiso de Almacenamiento","Storage Permission","Permesso di Archiviazione","Autorisation de Stockage","Speicherberechtigung","Permissão de Armazenamento"
